 1-Taste_ID;2-Name_Taste;3-Taste_Rus;4-Description_Taste;5-Image_Taste;6-Strength;7-Search_Field;16-Brand-Taste;17-Line_Brand-Taste;Created;Updated
1;BLUEBERRY - MINT;черника мята;2-х часовое удовольствие от великолепного сочетания вкуса черники и мяты, которое вам захочется повторять снова и снова. Насыщенный дым и длительное курение.;;2;BLUEBERRY - MINT черника мята Adalya;Adalya;;;
2;FRESHBERRY;черника малина;Freshberry - это восхитительная смесь вкусов таких ягод, как черника и малина. Насыщенный дым и длительное курение.;;2;FRESHBERRY черника малина Adalya;Adalya;;;
3;ORANGE;апельсин;Вы почувствуете во рту уникальный вкус средиземноморского апельсина. Насыщенный дым и длительное курение.;;2;ORANGE апельсин Adalya;Adalya;;;
4;CINNAMON;корица;Великолепный аромат, который добавляется ко вкусу кальяна. Те, кто считают, что одна корица дает слишком насыщенный вкус, могут добавлять различные смеси и вкусы на свое усмотрение. Насыщенный дым и длительное курение. Насыщенный вкус корицы ждет вас, вы можете использовать его, как самостоятельно, так и в различных смесях.;;2;CINNAMON корица Adalya;Adalya;;;
5;GRAPE-LEMON;виноград лимон;Изысканный вкус двух противоположностей. Насыщенный дым и длительное курение.;;2;GRAPE-LEMON виноград лимон Adalya;Adalya;;;
6;STRAWBERRY-VANILLA;клубника ваниль;Клубничный аромат, который оставляет после себя стойкое послевкусие, в сочетании с неповторимым ароматом ванили представляют собой идеальный аромат. Вы не сможете отказаться от сочетания этих двух ингредиентов. Насыщенный дым и длительное курение.;;2;STRAWBERRY-VANILLA клубника ваниль Adalya;Adalya;;;
7;TANGERINE;мандарин;Вкус, который обязательно должны попробовать любители цитрусовых. Насыщенный дым и длительное курение.;;2;TANGERINE мандарин Adalya;Adalya;;;
8;VANILLA;ваниль;Вы почувствуете мягкий и сладкий аромат сливок, вкус, который понравится всем любителям тортов. Насыщенный дым и длительное курение.;;2;VANILLA ваниль Adalya;Adalya;;;
9;BLACK GRAPE;виноград;Вас ждет изысканный аромат винограда. Это аромат со вкусом настоящего винограда. Насыщенный дым и длительное курение.;;2;BLACK GRAPE виноград Adalya;Adalya;;;
10;RASPBERRY;малина;Эта смесь оставляет сладкое, тягучее послевкусие с великолепным ароматом малины, возможно она кандидат номер один среди ваших ароматов.;;2;RASPBERRY малина Adalya;Adalya;;;
11;BLUEBERRY;черника;Данная смесь покорит вас, как своим ароматом во время курения, так и своей легкостью. Наилучшее воплощение аромата черники. Насыщенный дым и длительное курение.;;2;BLUEBERRY черника Adalya;Adalya;;;
12;BLACK MULBERRY;шелковица тутовник;Серия смесей с великолепными ощущениями от курения и насыщенным дымом.;;2;BLACK MULBERRY шелковица тутовник Adalya;Adalya;;;
13;BLUEMOON;голубика;"Притягательность ""Голубой луны"" скрыта в аромате данного табака";;2;BLUEMOON голубика Adalya;Adalya;;;
14;CAPUCCINO;капучино;Аромат капучино для любителей кальянов всегда популярен. Вместе с легкой насыщенностью вы почувствуете изысканный кофейный аромат.;;2;CAPUCCINO капучино Adalya;Adalya;;;
15;GREEN LEMON;лимон;Не ждите просто вкус кислого лимона. Уже с первого вдоха вы почувствуете прекрасный тонкий лимонный аромат;;2;GREEN LEMON лимон Adalya;Adalya;;;
