 1-Taste_ID;2-Name_Taste;3-Taste_Rus;4-Description_Taste;5-Image_Taste;6-Strength;7-Search_Field;16-Brand-Taste;17-Line_Brand-Taste;Created;Updated
1000;Thai Yogurt;манго йогурт;Экзотический спелый манго в нежном сливочном йогурте;;4;Thai Yogurt манго йогурт Aircraft;Aircraft;;;
1001;London Oatmeal;мюсли фрукты ягоды;Утренний кисло-сладкий микс из мюсли с сочными красными фруктами и ягодами;;4;London Oatmeal мюсли фрукты ягоды Aircraft;Aircraft;;;
1002;Cancun Limeade;лайм базилик ананас;Свежевыжатый сок мексиканского лайма с пряным ароматом базилика и сладким ананасом на фоне.;;4;Cancun Limeade лайм базилик ананас Aircraft;Aircraft;;;
1003;Lombardy Nut;орехи шоколад;Нежное орехово-сливочное сочетание с шоколадным фоном.;;4;Lombardy Nut орехи шоколад Aircraft;Aircraft;;;
1004;Indonesian Citrus;лайм жасмин;Лаймовая кислинка в сочетании с нежным жасминовым послевкусием;;4;Indonesian Citrus лайм жасмин Aircraft;Aircraft;;;
1005;Ceylon Chips;кокос орех;Чипсы из мякоти кокоса с характерным нежным ореховым вкусом;;4;Ceylon Chips кокос орех Aircraft;Aircraft;;;
1006;Russian Berry;малина;Натуральная ароматная малина с ярко-выраженной ягодной кислинкой;;4;Russian Berry малина Aircraft;Aircraft;;;
1007;Canadian Gum;жевательная резинка ягоды;Сочный баблгам с терпким насыщенным вкусом северных ягод.;;4;Canadian Gum жевательная резинка ягоды Aircraft;Aircraft;;;
1008;French Cider;сидр груша;Грушевый сидр, также известный как пуаре. Характерный кисло-сладкий вкус с долгим грушевым послевкусием.;;4;French Cider сидр груша Aircraft;Aircraft;;;
1009;California Cola;кола ваниль;Освежающий и всегда узнаваемый вкус колы с пряным ароматом ванили;;4;California Cola кола ваниль Aircraft;Aircraft;;;
1010;Polish Rum Biscuit;ром бисквит орех;Знаменитая ромовая баба. Вкус нежнейшего бисквита, пропитанного темным ромом с ореховым послевкусием.;;4;Polish Rum Biscuit ром бисквит орех Aircraft;Aircraft;;;
1011;Mexican Guava;гуава;Сочная гуава с ярким тропическим ароматом, характерной кислинкой и легким травянистым послевкусием;;4;Mexican Guava гуава Aircraft;Aircraft;;;
1012;Hong Kong Energy;киви;Бодрящий вкус энергетического напитка с добавлением кисло-сладкого спелого киви.;;4;Hong Kong Energy киви Aircraft;Aircraft;;;
1013;British Banoffee;шоколад бисквит банан карамель крем;Насыщенный десертный вкус, в основе которого шоколадный бисквит с банановой начинкой, сливочным кремом и карамелью.;;4;British Banoffee шоколад бисквит банан карамель крем Aircraft;Aircraft;;;
1014;Siberian Jam;малина;Домашнее варенье из спелой малины с кислинкой и душистым ароматом.;;4;Siberian Jam малина Aircraft;Aircraft;;;
1015;Cherry Pop;вишня гвоздика;Шипучая вишневая газировка с добавлением пикантной гвоздики.;;4;Cherry Pop вишня гвоздика Aircraft;Aircraft;;;
1016;Chinese Lemon;лимон имбирь цитрус;Классическое запоминающееся сочетание лимонной цедры, цитрусовой мякоти и пряного имбиря.;;4;Chinese Lemon лимон имбирь цитрус Aircraft;Aircraft;;;
