 1-Taste_ID,2-Name_Taste,3-Taste_Rus,4-Description_Taste,5-Image_Taste,6-Strength,7-Search_Field,16-Brand-Taste,17-Line_Brand-Taste,Created,Updated
8000,MANGO,,,,5,,,,,
8001,BASE,,,,5,,,,,
8002,MARZIPAN,,,,5,,,,,
8003,PASSION FRUIT,,,,5,,,,,
8004,WHISKEY,,,,5,,,,,
8005,PINEAPPLE,,,,5,,,,,
8006,LEMON,,,,5,,,,,
8007,POMEGRANATE,,,,5,,,,,
8008,BARBERRY,,,,5,,,,,
8009,RASPBERRY,,,,5,,,,,
8010,STRAWBERRY,,,,5,,,,,
8011,LYCHEE,,,,5,,,,,
8012,DARK CHOCOLATE,,,,5,,,,,
8013,CHEESECAKE,,,,5,,,,,
8014,COOKIE,,,,5,,,,,
8015,RUM,,,,5,,,,,
8016,SWEET CORN,,,,5,,,,,
8017,OLIVE,,,,5,,,,,
8018,SALAMI,,,,5,,,,,
8019,CHERRY,,,,5,,,,,
8020,LAVENDER,,,,4,,,,,
8021,MELISSA,,,,4,,,,,
8022,CLOVE,,,,4,,,,,
8023,LEMONGRASS,,,,4,,,,,
8024,HONEY,,,,4,,,,,
8025,GINGER,,,,4,,,,,
8026,BASIL,,,,4,,,,,
8027,VANILLA,,,,4,,,,,
