 1-Taste_ID;2-Name_Taste;3-Taste_Rus;4-Description_Taste;5-Image_Taste;6-Strength;7-Search_Field;16-Brand-Taste;17-Line_Brand-Taste;Created;Updated
8000;MANGO;манго;Плод тропического вечнозеленого дерева, имеет сладкий вкус и демонстрирует фруктовые, сливочные и растительные ароматы, часто с нотами смолы, хвои. В нем улавливаются абрикосовые и ананасовые нотки, также присутствует запах дыни. Манго гармонично сочетается с фруктовыми, пряными и сливочными вкусами.;;5;MANGO манго BONCHE;BONCHE;ОСНОВНАЯ;;
8001;BASE;;Вкус настоящей сигары невозможно спутать ни с чем, его отличает многообразие пограничных оттенков, превосходно друг с другом гармонирующих. Это и тонкие цветочные нотки, ореховые, древесные, землянистые, фруктовые, пряные оттенки, слегка мускусные и сладковатые.;;5;BASE  BONCHE;BONCHE;ОСНОВНАЯ;;
8002;MARZIPAN;марципан;У марципана изящный, утонченный вкус. Насыщенный ореховый аромат отлично балансируется сладостью сахарной пудры, а терпкая нотка абрикосовой косточки добавляет изюминки. Богатый ликерный аромат играет на кончике языка, а сладкое тягучее послевкусие плавно обволакивает.;;5;MARZIPAN марципан BONCHE;BONCHE;ОСНОВНАЯ;;
8003;PASSION FRUIT;киви земляника облепиха крыжовник;Яркий фруктовый вкус, кому-то напоминающий киви, землянику, спелую облепиху или крыжовник. От кислинки во рту оскомина, а благоухание влюбляет в себя даже тех, кому экзотика не по душе.;;5;PASSION FRUIT киви земляника облепиха крыжовник BONCHE;BONCHE;ОСНОВНАЯ;;
8004;WHISKEY;виски;Ирландский виски – это живой напиток, изысканный, не утяжеленный. Он не для тех, кто любуется внешним видом и соревнуется в красоте подачи – он для ценителей чистого качества. Аромат ирландского виски многогранен, благодаря технологии традиционного изготовления, он наполнен древесными нотами, с отголосками фруктов, иногда хвойными оттенками можжевельника, соли и сена.;;5;WHISKEY виски BONCHE;BONCHE;ОСНОВНАЯ;;
8005;PINEAPPLE;ананас;Сейчас ананас используется для приготовления самых различных блюд. Он обладает специфическим, ни на что не похожим сладко-кислым вкусом, превосходно дополняющим жгучие или азиатские кисло-сладкие соусы, деликатесы и выпечку. Его любят за ненавязчивую сладость и приятную кислинку, за уникальный яркий аромат.;;5;PINEAPPLE ананас BONCHE;BONCHE;ОСНОВНАЯ;;
8006;LEMON;лимон;Горьковатая цедра лимона с острыми нотками придает пикантности его вкусу, делает его незабываемым и незаменимым, а приятная кислинка вызывает аппетит.;;5;LEMON лимон BONCHE;BONCHE;ОСНОВНАЯ;;
8007;POMEGRANATE;гранат;Гранат – поистине уникальный плод, отличающийся как неповторимым составом, так и богатым многогранным вкусом. Терпкий, травянистый, фруктовый, играющий разными оттенками и создающий приятные ароматические комбинации плод имеет заслуженный почет и славу.;;5;POMEGRANATE гранат BONCHE;BONCHE;ОСНОВНАЯ;;
8008;BARBERRY;барбарис;Барбарис добавляют во многие блюда восточной кухни, чтобы придать им тонкую изысканную кислинку. Им приправляют жгучие блюда с мясом, а также сочетают со сладкими десертам - шоколадом, выпечкой и мороженым. Барбарис называют конфетным растением, ассоциируя со всем известной карамелью, очень похожей по вкусу на свежую ягоду рубинового цвета.;;5;BARBERRY барбарис BONCHE;BONCHE;ОСНОВНАЯ;;
8009;RASPBERRY;малина;Из малины готовили чай взварец, добавляя в него листья малины и клюкву. Такой витаминный коктейль поднимал настроение и улучшал самочувствие. Спелая, душистая кисло-сладкая ягода с ярким и сочным вкусом ценится в кулинарии за сохранение своих полезных свойств при обработке.;;5;RASPBERRY малина BONCHE;BONCHE;ОСНОВНАЯ;;
8010;STRAWBERRY;клубника;Сахаристая внутри и яркая, блестящая снаружи клубника подкупает своей сладостью, с легкой кислинкой, а иногда и мускатными нотками во вкусе. Сочная и мясистая, клубника – заслуженно считается синонимом наслаждения и удовольствия.;;5;STRAWBERRY клубника BONCHE;BONCHE;ОСНОВНАЯ;;
8011;LYCHEE;личи;Сочная мякоть личи, напоминающая желе, буквально тает во рту. Нежный, сладкий вкус с легкой кислинкой может ассоциироваться со сливой, виноградом или клубникой. Слегка приторный аромат многим напоминает запах лепестков роз.;;5;LYCHEE личи BONCHE;BONCHE;ОСНОВНАЯ;;
8012;DARK CHOCOLATE;темный шоколад;Во вкусе темного шоколада можно уловить кокосовые, коричные, перечные и табачные нотки, а также ананаса, апельсина и гвоздики. Аромат шоколада комплементарен и многогранен, он возбуждает множество рецепторов и позволяет ощутить целый калейдоскоп вкусов.;;5;DARK CHOCOLATE темный шоколад BONCHE;BONCHE;ОСНОВНАЯ;;
8013;CHEESECAKE;чизкейк;Ненавязчиво сладкий, сливочный вкус этого лакомства оценивают даже самые искушенные гурманы. Превосходно дополняемы фруктами, карамелью и пряностями, чизкейк достойно занимает одно из лидирующих положений среди гастрономических предпочтений множества людей.;;5;CHEESECAKE чизкейк BONCHE;BONCHE;ОСНОВНАЯ;;
8014;COOKIE;печенье;Сейчас для многих сахарное печенье – это вкус детства. Его аромат, незабываемый вкус редко кого оставляют равнодушным. Традиционное сахарное печенье рассыпчатое, пористое и хрупкое. Хорошо сочетается с фруктовым и ягодным повидлом и мармеладом, на манер арабского курабье.;;5;COOKIE печенье BONCHE;BONCHE;ОСНОВНАЯ;;
8015;RUM;ром;Рому присущи нотки экзотических фруктов и патоки, меда, карамели и более тонкие оттенки табака, кожи и пряностей. Исторически повелось делать коктейли на основе рома с фруктовым соком, ром часто используется в кулинарии и выпечке, придавая ей утонченности.;;5;RUM ром BONCHE;BONCHE;ОСНОВНАЯ;;
8016;SWEET CORN;кукуруза;В современной кукурузе содержится до 40% сахара, что придает ей естественной ненавязчивой сладости. Аромат вареной кукурузы вызывает аппетит и приятные ассоциации с залитыми солнцем южными странами, где кукуруза – или маис – имеет статус божественного растения.;;5;SWEET CORN кукуруза BONCHE;BONCHE;ОСНОВНАЯ;;
8017;OLIVE;олива;Олива ценится за уникальное по своим свойствам масло, превосходное как по вкусовым качествам, так и полезным характеристикам. Оливу в сыром виде не употребляют, она горькая, сперва ее выдерживают в соленом растворе – консервируют.;;5;OLIVE олива BONCHE;BONCHE;ОСНОВНАЯ;;
8018;SALAMI;салями;В традиционном рецепте салями лишь мясо, соль и черный перец. Это пряное угощение принято сперва нарезать тончайшими ломтиками и оставлять на несколько минут при комнатной температуре, это непременное условие для полного раскрытия всего спектра вкуса.;;5;SALAMI салями BONCHE;BONCHE;ОСНОВНАЯ;;
