 1-Taste_ID;2-Name_Taste;3-Taste_Rus;4-Description_Taste;5-Image_Taste;6-Strength;7-Search_Field;16-Brand-Taste;17-Line_Brand-Taste;Created;Updated
9000;АБРИКОС;;Необычный аромат только что сорванного с дерева спелого абрикоса порадует любителей нестандартных вкусов.;;3;АБРИКОС  BRUSKO;BRUSKO;;;
9001;АНАНАС;;Кисло-сладкий вкус мякоти сочного ананаса не оставит никого равнодушным как в чистом виде, так и в любых фруктовых миксах.;;3;АНАНАС  BRUSKO;BRUSKO;;;
9002;АНАНАС С ПОМЕЛО И ЛИЧИ;;Необычный тропический микс на основе сочных плодов ананаса, помело и личи подойдёт любителям сладких фруктовых сочетаний.;;3;АНАНАС С ПОМЕЛО И ЛИЧИ  BRUSKO;BRUSKO;;;
9003;АПЕЛЬСИН С МЯТОЙ;;Яркий вкус спелого апельсина с освежающей мятной ноткой. Этот вкус без проблем впишется в любой микс на вашей чаше.;;3;АПЕЛЬСИН С МЯТОЙ  BRUSKO;BRUSKO;;;
9004;БАНАНОВЫЙ ПИРОГ;;Насыщенный десертный микс, внутри которого можно найти вкусы нежной выпечки и сладкого карамелизированного банана с нотами сливочного крема.;;3;БАНАНОВЫЙ ПИРОГ  BRUSKO;BRUSKO;;;
9005;БЕЛЬГИЙСКИЕ ВАФЛИ;;Классические бельгийские вафли с добавлением бананового крема и клубники станут идеальным выбором для любителей нежных десертных вкусов.;;3;БЕЛЬГИЙСКИЕ ВАФЛИ  BRUSKO;BRUSKO;;;
9006;БУЗИНА;;Необычный вкус кисло-сладких ягод бузины с едва уловимым цветочным ароматом отлично подойдёт для придания красок любому миксу.;;3;БУЗИНА  BRUSKO;BRUSKO;;;
9007;ВИШНЕВЫЙ ЛИМОНАД;;Освежающий напиток на основе вишнёвого сока с добавлением лимона и лайма обладает сбалансированным вкусом с лёгкой цитрусовой кислинкой.;;3;ВИШНЕВЫЙ ЛИМОНАД  BRUSKO;BRUSKO;;;
9008;ВИШНЯ;;Вкус яркой, слегка кислой вишневой мякоти станет идеальным дополнением любого микса в вашей чаше.;;3;ВИШНЯ  BRUSKO;BRUSKO;;;
9009;ГРАНАТ;;Уникальный вкус бордового плода, наполненного множеством сочных, вяжущих язык кислых зёрен. Легенда ближневосточной кухни прямо в твоей чаше.;;3;ГРАНАТ  BRUSKO;BRUSKO;;;
9010;ГРЕЙПФРУТ С МАЛИНОЙ;;Насыщенный вкус грейпфрутовой мякоти с легкой горчинкой в сочетании со спелой садовой малиной не оставит равнодушным любителей фруктово-ягодных миксов.;;3;ГРЕЙПФРУТ С МАЛИНОЙ  BRUSKO;BRUSKO;;;
9011;ДЫНЯ С КОКОСОМ И КАРАМЕЛЬЮ;;В этом миксе мы смешали вкусы спелой дыни и сладкого кокоса, после чего слегка приправили всё нежной карамелью.;;3;ДЫНЯ С КОКОСОМ И КАРАМЕЛЬЮ  BRUSKO;BRUSKO;;;
9012;ИМБИРНЫЙ ЛИМОНАД;;Кисло-сладкий напиток на основе пряного имбиря и сока лимона отлично подойдет любителям нестандартных лимонадных миксов.;;3;ИМБИРНЫЙ ЛИМОНАД  BRUSKO;BRUSKO;;;
9013;КАКТУСОВЫЙ ФИНИК;;Наверняка никто и никогда не пробовал кактус на вкус, но внутри вас ждет необычное кисло-сладкое фруктовое сочетание.;;3;КАКТУСОВЫЙ ФИНИК  BRUSKO;BRUSKO;;;
