 1-Taste_ID;2-Name_Taste;3-Taste_Rus;4-Description_Taste;5-Image_Taste;6-Strength;7-Search_Field;16-Brand-Taste;17-Line_Brand-Taste;Created;Updated
10000;After 8;Шоколад Мята;Насыщенный After 8 раскрывает дымные объятия, обволакивая сначала прохладной свежестью мяты, а затем оставляя выраженное шоколадное послевкусие с характерной сладостью. Яркий контраст делает вкус необычным и многогранным;;2;After 8 Шоколад Мята Burn;;;;
10001;Bali lounge;Ананас Грейпфрут;Ананас с грейпфрутом идеально создают атмосферу тропиков и летнего настроения. Капучино окутает Вас ощущением спокойствия и релакса. Все что вам нужно, это закрыть глаза и представить, что Вы сейчас на солнечном Бали, отдыхаете и наслаждаетесь местной атмосферой Очень сочный, со сладким привкусом аромат.;;2;Bali lounge Ананас Грейпфрут Burn;;;;
10002;Berried treasure;Ягоды Арбуз Малина Ченика;Представьте, яркий и сочный арбуз, который сменяется вкусом малины и черники и все это изобилие приправлено слабыми, но ощутимыми нотками цитрусов ? Это волшебное ягодное путешествие придется по душе любителям отдельных ягодных вкусов;;2;Berried treasure Ягоды Арбуз Малина Ченика Burn;;;;
10003;Berry Mix;Малина Клубника Виноград;Беспроигрышный микс нежной малины и клубники, смешанный с терпкими полутонами винограда. Освежающие оттенки клубники с кислинкой, бархатистая сладость малины и виноград, балансирующий между этими вкусами, понравятся девушкам и всем, кто устал от моновкусов, и хочет попробовать что-то новенькое.;;2;Berry Mix Малина Клубника Виноград Burn;;;;
10004;Bliss;Личи Мята;Этот уникальный летний микс кисло-сладкой ягоды Личи и мяты ? Вкус раскрывается постепенно и сначала Вы ощущаете яркий удар свежей мяты по вашим рецепторам, а после у Вас остается сладкий привкус ягоды с небольшой кислинкой;;2;Bliss Личи Мята Burn;;;;
10005;Blueberry Mint;Черника Мята;Свежая мята оттеняет вкус сладкой и терпкой черники, за счёт чего получается оптимальное буйство вкусов ? Этот табак отлично подходит для создания сладких и свежих миксов;;2;Blueberry Mint Черника Мята Burn;;;;
10006;Burn Fantazzy;Мандарин Апельсин Цитрус;Сочетание мандарина и апельсина придает очень яркий и насыщенный вкус. Но микс не переполнен цитрусовой составляющей, поэтому отлично курится даже в соло забивке. Сладость мандарина оттеняет свежесть апельсина, что придает вкусу пикантную ноту.;;2;Burn Fantazzy Мандарин Апельсин Цитрус Burn;;;;
10007;Burn Fire;Красный перец;Вот он, неповторимый вкус. Это самый острый вкус перца, он не оставит вас равнодушными и сделает Ваше дыхание огненным.  С каждым новым вдохом, острота будет казаться Вам не такой обжигающей, а вкусовые рецепторы научатся понимать настоящий вкус Fire. Этот табак идеален для создания миксов, он сделает любой вкус из линейки Burn немного пикантным.;;2;Burn Fire Красный перец Burn;;;;
10008;Cactus;Кактус;Кто-то скажет, что он сладкий, другие скажут, что он очень мягкий с привкусом сладкого сиропа, третьи ощутят легкую нотку свежести. По своему вкусу, Cactus напоминает сочетание груши и дыни. Но то, как раскроется этот вкус, зависит от ваших вкусовых рецепторов и фантазии. В любом случае, этот вкус не оставит в покое ваши вкусовые рецепторы;;2;Cactus Кактус Burn;;;;
10009;Candy Cherry;Вишня Компот;Наверное, одна из самых популярных ягод в России. Но получилось, что в кальянном мире достойного вишнёвого вкуса не было, до появления нашей. Кислинка от натурального сока из вишни или домашнего компота делает этот табак очень вкусным! Насыщенный аромат и роскошный клубящийся дым «сделают» ваш вечер.;;2;Candy Cherry Вишня Компот Burn;;;;
10010;Casablanca;Кола Мохито Лайм;Этот вкус Тот Самый, который определенно стоит попробовать при знакомстве с нашей продукцией ? Яркий вкус колы с нотками освежающего мохито – это то, что нужно жарким летом или во время вечеринок. Дополните атмосферу праздника вкусом Casablanca;;2;Casablanca Кола Мохито Лайм Burn;;;;
