 1-Taste_ID;2-Name_Taste;3-Taste_Rus;4-Description_Taste;5-Image_Taste;6-Strength;7-Search_Field;16-Brand-Taste;17-Line_Brand-Taste;Created;Updated
14000;Crazy Fog;;;;3;Crazy Fog  Element;Element;V;;
14001;Elderfall;;;;3;Elderfall  Element;Element;V;;
14002;Fruit Flood;;;;3;Fruit Flood  Element;Element;V;;
14003;Grenade Sunset;;;;3;Grenade Sunset  Element;Element;V;;
14004;Rainmonade;;;;3;Rainmonade  Element;Element;V;;
14005;Raspberry Desert;;;;3;Raspberry Desert  Element;Element;V;;
14006;Tropic Monsoon;;;;3;Tropic Monsoon  Element;Element;V;;
14007;Wafflefall;;;;3;Wafflefall  Element;Element;V;;
14008;Yellowstorm;;;;3;Yellowstorm  Element;Element;V;;
14009;Yummy Tsunami;;;;3;Yummy Tsunami  Element;Element;V;;
14010;Banana Daiquiri;Банановый дайкири;;;2;Banana Daiquiri Банановый дайкири Element;Element;Вода;;
14011;Belgian waffle;Бельгийская вафля;;;2;Belgian waffle Бельгийская вафля Element;Element;Вода;;
14012;Blueberry;Черника;;;2;Blueberry Черника Element;Element;Вода;;
14013;Cactus fig;Кактусовый финик;;;2;Cactus fig Кактусовый финик Element;Element;Вода;;
14014;Cherry;Вишня;;;2;Cherry Вишня Element;Element;Вода;;
14015;Cola;Кола;;;2;Cola Кола Element;Element;Вода;;
14016;Cookie monster;Земляничное печенье;;;2;Cookie monster Земляничное печенье Element;Element;Вода;;
14017;Currant;Смородина;;;2;Currant Смородина Element;Element;Вода;;
14018;Ekzo;Экзо;;;2;Ekzo Экзо Element;Element;Вода;;
14019;Feijoa;Фейхоа;;;2;Feijoa Фейхоа Element;Element;Вода;;
14020;Fir;Пихта;;;2;Fir Пихта Element;Element;Вода;;
14021;Grape mint;Мятный виноград;;;2;Grape mint Мятный виноград Element;Element;Вода;;
14022;Grapegruit&Pomelo;Грейпфрут и помело;;;2;Grapegruit&Pomelo Грейпфрут и помело Element;Element;Вода;;
14023;Kalamansi;Каламанси;;;2;Kalamansi Каламанси Element;Element;Вода;;
14024;Lemon;Лимон;;;2;Lemon Лимон Element;Element;Вода;;
14025;Lemongrass;Лемонграсс;;;2;Lemongrass Лемонграсс Element;Element;Вода;;
14026;Mango;Манго;;;2;Mango Манго Element;Element;Вода;;
14027;Maraquya;Маракуйя;;;2;Maraquya Маракуйя Element;Element;Вода;;
14028;Margarita;Маргарита;;;2;Margarita Маргарита Element;Element;Вода;;
14029;Moroz;Мороз;;;2;Moroz Мороз Element;Element;Вода;;
14030;Orbital;Мятная жвачка;;;2;Orbital Мятная жвачка Element;Element;Вода;;
14031;Peach;Персик;;;2;Peach Персик Element;Element;Вода;;
14032;Pear;Груша;;;2;Pear Груша Element;Element;Вода;;
14033;Pineapple;Ананас;;;2;Pineapple Ананас Element;Element;Вода;;
14034;Pomegranate;Гранат;;;2;Pomegranate Гранат Element;Element;Вода;;
14035;Rasberry;Малина;;;2;Rasberry Малина Element;Element;Вода;;
14036;Tropicana;Тропикана;;;2;Tropicana Тропикана Element;Element;Вода;;
14037;Tryme&Bergamot;Чабрец и бергамот;;;2;Tryme&Bergamot Чабрец и бергамот Element;Element;Вода;;
14038;Watermelon Holls;Арбузный холлс;;;2;Watermelon Holls Арбузный холлс Element;Element;Вода;;
14039;Wildberry mors;Ягодный морс;;;2;Wildberry mors Ягодный морс Element;Element;Вода;;
14040;Amazingreen;Зеленые ягоды;;;3;Amazingreen Зеленые ягоды Element;Element;Воздух;;
14041;Baikal;Байкал;;;3;Baikal Байкал Element;Element;Воздух;;
14042;Bananerro;Бананерро;;;3;Bananerro Бананерро Element;Element;Воздух;;
14043;Bellini;Беллини;;;3;Bellini Беллини Element;Element;Воздух;;
14044;Berrymore;Бэрримор;;;3;Berrymore Бэрримор Element;Element;Воздух;;
14045;Berrytale;Лесные ягоды;;;3;Berrytale Лесные ягоды Element;Element;Воздух;;
14046;Buzina;Бузина;;;3;Buzina Бузина Element;Element;Воздух;;
14047;Cactus fig;Кактусовый финик;;;3;Cactus fig Кактусовый финик Element;Element;Воздух;;
14048;Cucumber Lemonade;Огуречный лимонад;;;3;Cucumber Lemonade Огуречный лимонад Element;Element;Воздух;;
14049;Ekzo;Экзо;;;3;Ekzo Экзо Element;Element;Воздух;;
14050;Fruitberry;Фрутберри;;;3;Fruitberry Фрутберри Element;Element;Воздух;;
14051;Garnet Holls;Гранатовый Холс;;;3;Garnet Holls Гранатовый Холс Element;Element;Воздух;;
14052;Gelato Al Pistacchio;Фисташковое мороженое;;;3;Gelato Al Pistacchio Фисташковое мороженое Element;Element;Воздух;;
14053;Grape mint;Мятный виноград;;;3;Grape mint Мятный виноград Element;Element;Воздух;;
14054;Lemongrass;Лемонграсс;;;3;Lemongrass Лемонграсс Element;Element;Воздух;;
14055;Li-Ci;личи цитрус;;;3;Li-Ci личи цитрус Element;Element;Воздух;;
14056;Margarita;Маргарита;;;3;Margarita Маргарита Element;Element;Воздух;;
14057;Marula;Марула;;;3;Marula Марула Element;Element;Воздух;;
14058;Maui;Ананас папайя;;;3;Maui Ананас папайя Element;Element;Воздух;;
14059;Melon Holls;Дынный холс;;;3;Melon Holls Дынный холс Element;Element;Воздух;;
14060;Milky Mouse;Сгущенное молоко;;;3;Milky Mouse Сгущенное молоко Element;Element;Воздух;;
14061;Noirmelon;дыня черника;;;3;Noirmelon дыня черника Element;Element;Воздух;;
14062;Orchata;Орчата;;;3;Orchata Орчата Element;Element;Воздух;;
