 1-Taste_ID;2-Name_Taste;3-Taste_Rus;4-Description_Taste;5-Image_Taste;6-Strength;7-Search_Field;16-Brand-Taste;17-Line_Brand-Taste;Created;Updated
30000;ALTERED COLA;Кола;;;3;ALTERED COLA Кола Peter Ralf;PeterRalf;;;
30001;APPLE G ICE;Яблоко Лед;;;3;APPLE G ICE Яблоко Лед Peter Ralf;PeterRalf;;;
30002;ARCTIC BLUE;Черника;;;3;ARCTIC BLUE Черника Peter Ralf;PeterRalf;;;
30003;BANANA CREPES;Банан;;;3;BANANA CREPES Банан Peter Ralf;PeterRalf;;;
30004;BELGIUM WAFFLE;Вафли Банан Сдоба;;;3;BELGIUM WAFFLE Вафли Банан Сдоба Peter Ralf;PeterRalf;;;
30005;BENGAL CITRUS;Лимон Мята;В этот раз индийское настроение авторского вкуса Peter Ralf сопровождает яркий микс из лимона и мяты. Флейвористы превзошли сами себя, соединив горячее сердце специй с холодными цитрусовыми и ментоловыми оттенками. Вкус, построенный на контрасте, закружит ваши вкусовые ощущения в феерии прохладных, фруктовых, специевых оттенков.  ;;3;BENGAL CITRUS Лимон Мята Peter Ralf;PeterRalf;;;
30006;BLACK PRINCE;Клубника;;;3;BLACK PRINCE Клубника Peter Ralf;PeterRalf;;;
30007;BRUNSFIG;Инжир;;;3;BRUNSFIG Инжир Peter Ralf;PeterRalf;;;
30008;CHRISTMAS TEA;Чай Лимон;;;3;CHRISTMAS TEA Чай Лимон Peter Ralf;PeterRalf;;;
30009;CITRUS CITY;Лимон Грейпфрут Апельсин Цитрус;;;3;CITRUS CITY Лимон Грейпфрут Апельсин Цитрус Peter Ralf;PeterRalf;;;
30010;CLAN BANANA;Банан;;;3;CLAN BANANA Банан Peter Ralf;PeterRalf;;;
30011;DOLCE DE LECHEE;Карамель;;;3;DOLCE DE LECHEE Карамель Peter Ralf;PeterRalf;;;
30012;DOUBLE BUBBLE;Жевательная резинка;;;3;DOUBLE BUBBLE Жевательная резинка Peter Ralf;PeterRalf;;;
30013;DR. PISTACHIO;Фисташка;;;3;DR. PISTACHIO Фисташка Peter Ralf;PeterRalf;;;
30014;GRANOLA FLAT;Малина Каша;;;3;GRANOLA FLAT Малина Каша Peter Ralf;PeterRalf;;;
30015;LIL KI;Киви;;;3;LIL KI Киви Peter Ralf;PeterRalf;;;
30016;LONGGUN;Лонган;;;3;LONGGUN Лонган Peter Ralf;PeterRalf;;;
30017;MACADAMIA;Орех Макадамия;;;3;MACADAMIA Орех Макадамия Peter Ralf;PeterRalf;;;
30018;MANGO SHAKE;Манго;;;3;MANGO SHAKE Манго Peter Ralf;PeterRalf;;;
30019;MARBLE PEAR;Груша;;;3;MARBLE PEAR Груша Peter Ralf;PeterRalf;;;
30020;MAROON 6;Малина;;;3;MAROON 6 Малина Peter Ralf;PeterRalf;;;
30021;MIDNIGHT FOREST;Хвоя Елка;;;3;MIDNIGHT FOREST Хвоя Елка Peter Ralf;PeterRalf;;;
30022;MR. PEACH;Персик;;;3;MR. PEACH Персик Peter Ralf;PeterRalf;;;
30023;MULBERRY CREW;Шелковица Тутовник;;;3;MULBERRY CREW Шелковица Тутовник Peter Ralf;PeterRalf;;;
30024;NINACURRANT;Смородина;;;3;NINACURRANT Смородина Peter Ralf;PeterRalf;;;
30025;PEAKY FIG;Инжир Кактус;;;3;PEAKY FIG Инжир Кактус Peter Ralf;PeterRalf;;;
30026;PG FRUIT;Грейпфрут;;;3;PG FRUIT Грейпфрут Peter Ralf;PeterRalf;;;
30027;PINEBLANCO;Ананас;;;3;PINEBLANCO Ананас Peter Ralf;PeterRalf;;;
30028;POST MELON;Дыня;;;3;POST MELON Дыня Peter Ralf;PeterRalf;;;
30029;QUINCE;Айва;;;3;QUINCE Айва Peter Ralf;PeterRalf;;;
30030;SANTA-BARBARA;Барбарис;;;3;SANTA-BARBARA Барбарис Peter Ralf;PeterRalf;;;
30031;SAVAGE STRAWBERRY;Земляника Малина;Беспроигрышный дуэт двух ягод: ароматной лесной земляники и малины — это нечто. Вкус играет на переходах от кислоты к сладости и все это действо разворачивается на умопомрачительной высоте и насыщенности нот. Табак курится долго, насыщенно-дымно и очень мягко. Peter Ralf на крепком сорте Burley удивит своим комфортом при курении. Легкие табачные акценты только углубляют ягодные оттенки, оставаясь приятным фоном. ;;3;SAVAGE STRAWBERRY Земляника Малина Peter Ralf;PeterRalf;;;
30032;SUGAR BABY;Арбуз;;;3;SUGAR BABY Арбуз Peter Ralf;PeterRalf;;;
30033;THE DRAGON;Драконий фрукт Питахайя;;;3;THE DRAGON Драконий фрукт Питахайя Peter Ralf;PeterRalf;;;
30034;TROPICAL EXOTIC;Личи;;;3;TROPICAL EXOTIC Личи Peter Ralf;PeterRalf;;;
