 1-Taste_ID;2-Name_Taste;3-Taste_Rus;4-Description_Taste;5-Image_Taste;6-Strength;7-Search_Field;16-Brand-Taste;17-Line_Brand-Taste;Created;Updated
45000;АБРИКОС НА ЧИЛЕ;;Сладкий аромат, напоминающий мякоть абрикоса, с легкой кислинкой;;4;АБРИКОС НА ЧИЛЕ   Северный;Северный;;;
45001;АВТОРИТЕТНЫЙ АНАНАС;;Вкус сочного ананаса с небольшой кислинкой;;4;АВТОРИТЕТНЫЙ АНАНАС   Северный;Северный;;;
45002;АЛТАЙСКИЙ СБОР;алтайские травы;Душистый аромат цветущих родных алтайских трав;;4;АЛТАЙСКИЙ СБОР алтайские травы  Северный;Северный;;;
45003;АРА ХАЛВА;халва арахис;Вкус халвы с нотками арахиса, сладкий;;4;АРА ХАЛВА халва арахис  Северный;Северный;;;
45004;АРАБСКИЙ ФРУКТ;южные фрукты лакрица;Сладковатое сочетание свежих южных фруктов с тонкими нюансами ненавязчивой приятной лакрицы на послевкусии;;4;АРАБСКИЙ ФРУКТ южные фрукты лакрица  Северный;Северный;;;
45005;БЕСПЕЧНОЕ ЯБЛОКО;;Вкус спелого сочного зеленого яблока. Без привкуса аниса;;4;БЕСПЕЧНОЕ ЯБЛОКО   Северный;Северный;;;
45006;БЛЭК ДЖЕКФРУТ;азиатский фрукт;В меру сладкий, необычный вкус азиатского фрукта;;4;БЛЭК ДЖЕКФРУТ азиатский фрукт  Северный;Северный;;;
45007;БОРЗЫЙ ЭВКАЛИПТ;;Бодрящий, освежающий, интенсивный вкус чистого эвкалипта;;4;БОРЗЫЙ ЭВКАЛИПТ   Северный;Северный;;;
45008;ВЕЗУЧИЙ ГРЕЙПФРУТ;;Вкус мякоти грейпфрута, кислый со свежими и горькими нотками;;4;ВЕЗУЧИЙ ГРЕЙПФРУТ   Северный;Северный;;;
45009;ВЗЛЕТНЫЙ ЛАЙМ;;Сочный лайм со свежей бодрящей кислинкой;;4;ВЗЛЕТНЫЙ ЛАЙМ   Северный;Северный;;;
45010;ВИШНЕВАЯ ДЕВЯТКА;вишня;Имеет кисло-сладкий вкус и умеренный терпковатый аромат спелой вишни;;4;ВИШНЕВАЯ ДЕВЯТКА вишня  Северный;Северный;;;
45011;ВОЛЧЬЯ ЯГОДА;;На вдохе ощущается сладкая ягодная нота, а на выдохе - кислинка;;4;ВОЛЧЬЯ ЯГОДА   Северный;Северный;;;
45012;ВОСТОЧНЫЕ ПРЯНОСТИ;восточные благовония;Тонкий аромат восточных благовоний с отчетливой свежестью;;4;ВОСТОЧНЫЕ ПРЯНОСТИ восточные благовония  Северный;Северный;;;
45013;ВЫПЬЕМ ЗА МОРКОВЬ;;Традиционный вкус свежей сладкой моркови, сорванной прямо с дачной грядки.;;4;ВЫПЬЕМ ЗА МОРКОВЬ   Северный;Северный;;;
45014;ГЕРОЙСКИЙ ВИНОГРАД;;Вкус черного винограда (Изабелла). Сладкий с кислыми нотками;;4;ГЕРОЙСКИЙ ВИНОГРАД   Северный;Северный;;;
45015;ГРАНАТ СО ДВОРА;;Вкус гранатового сока. Кислый со сладкими нотками;;4;ГРАНАТ СО ДВОРА   Северный;Северный;;;
45016;ДЕРЗКИЙ АБСЕНТ;абсент;Вкус легендарного напитка раскрывается букетом трав на алкогольной основе;;4;ДЕРЗКИЙ АБСЕНТ абсент  Северный;Северный;;;
45017;ДУШЕВНЫЙ РОМ;шоколад карамель алкоголь;Шоколадно-карамельный аромат с пряностями и алкогольной ноткой;;4;ДУШЕВНЫЙ РОМ шоколад карамель алкоголь  Северный;Северный;;;
45018;ЗАВОДНОЙ АПЕЛЬСИН;апельсин корица;Вкус сладкого спелого апельсина с легкой ноткой корицы.;;4;ЗАВОДНОЙ АПЕЛЬСИН апельсин корица  Северный;Северный;;;
45019;ЗАВТРАК ДЖУМАНДЖИ;мюсли лимон;Многогранный вкус с оттенком злаковых мюсли и нотами некислого лимона;;4;ЗАВТРАК ДЖУМАНДЖИ мюсли лимон  Северный;Северный;;;
45020;ЗВЕЗДНЫЙ КАКТУС;;Кислая мякоть свежесрезанного кактуса. Опасный снаружи и мягкий внутри;;4;ЗВЕЗДНЫЙ КАКТУС   Северный;Северный;;;
45021;ЗЕЛЕНЫЙ ЧАЙ;;Вкус холодного зеленого чая с легкой освежающей травянистой нотой;;4;ЗЕЛЕНЫЙ ЧАЙ   Северный;Северный;;;
45022;ЗИМНИЕ ЗАБАВЫ;ром ананас шарлотка;Зима - отличное время повеселиться в компании друзей! Рецепт зимних забав прост: «Душевный Ром», «Авторитетный Ананас» и, конечно же, настоящая «Русская Шарлотка»!;;4;ЗИМНИЕ ЗАБАВЫ ром ананас шарлотка  Северный;Северный;;;
