 1-Taste_ID;2-Name_Taste;3-Taste_Rus;4-Description_Taste;5-Image_Taste;6-Strength;7-Search_Field;16-Brand-Taste;17-Line_Brand-Taste;Created;Updated
10040;After 8;"Шоколадно-мятные конфеты
";Вкус шоколадных конфет с мятой. Отлично дополняет любой вкус BlackBurn, так как сразу обладает и умеренной сладостью и свежестью. Мята создает первое ощущение свежести, но после выдыхания вы почувствуете сладкое послевкусие шоколада.;;4;"After 8 Шоколадно-мятные конфеты
 Burn";Burn;BlackBurn;;
10041;Almond Ice Cream;Миндальное мороженое;Потрясающий вкус миндального мороженого. Горьковато-терпкий аромат свежего миндаля в сочетании с освежающей сливочно-молочной сладостью. Насыщенный, нежный и пикантный бленд, который дает много дыма и долго курится.;;4;Almond Ice Cream Миндальное мороженое Burn;;BlackBurn;;
10042;Ananas Shock;Кислый ананас;Восхитительный и натуральный вкус кислого ананаса в табаке BlackBurn - Ananas Shock. Насладитесь ярко выраженной тропической кислинкой сочного фрукта, которая аж пощипывает язык! В интересном и богатом букете можно уловить легкую сладость и мягкие цветочные ноты. Остается приятное послевкусие. Продукт отлично курится соло. А если вы соскучились по тропикам, то сделайте крутой экзотический микс - смешайте с мятой и кокосом.;;4;Ananas Shock Кислый ананас Burn;;BlackBurn;;
10043;Apple Shock;Кислое яблоко;"Давно ищете идеальное яблоко, Возможно вы найдете его в табаке Apple Shock от BlackBurn. Это настоящее кислое зеленое яблоко и ничего лишнего. Аромат получился очень яркий, насыщеннный и ""сочный"". В сочетание с хорошей крепостью этот табак может занять почетное место среди ваших любимых вкусов. Советуем!";;4;Apple Shock Кислое яблоко Burn;;BlackBurn;;
10044;Asian Lychee;Азиатский личи;Абсолютно необычный и вместе с тем интересный вкус экзотического личи. Сладкий фруктовый аромат не оставит равнодушным, а его яркое послевкусие поможет окунуться в атмосферу тропического отдыха, что разнообразит и скрасит любой вечер.;;4;Asian Lychee Азиатский личи Burn;;BlackBurn;;
10045;Barberry Shock;Кислый барбарис;Мы привыкли, что если заявлен барбарис, то чаще всего это оказываются сладкие конфетки, не в этот раз. Barberry Shock изменяет привычное положение дел и дарит очень кислый аромат. Вкус невероятно яркий, а забитый в соло сводит скулы даже самым ярым фанатам кислых вкусов.;;4;Barberry Shock Кислый барбарис Burn;;BlackBurn;;
10046;Black Honey;"Цветочный мед
";Сладкий майский мед с цветочным послевкусием. Этот аромат максимально наполнен летом и всей его сладостью. Каждый вдох отправляет в забвенные времена, когда время течет столь же медленно и беззаботно, как свежий и золотистый мед из бочонка владельца полевой пасеки.;;4;"Black Honey Цветочный мед
 Burn";;BlackBurn;;
10047;Brownie;"Шоколадный десерт
";"Когда десерт не содержит никаких лишних калорий, только безупречный вкус нежного шоколадного бисквита. Нотки любимого лакомства с легкой горчинкой и аппетитными сладкими полутонами принесут много дымного удовольствия.
";;4;"Brownie Шоколадный десерт
 Burn";;BlackBurn;;
10048;Cane Mint;"Тростниковая мята
";"Классический вкус для табака, но этот факт не преуменьшает его плюсов. Неудивительно, что многие предпочитают именно его, ведь мята прекрасно освежает и тонизирует, помогает расслабиться в конце тяжелого дня. Вы сможете насладиться и легкой сладостью аромата, скользящей на фоне освежающей мяты.
";;4;"Cane Mint Тростниковая мята
 Burn";;BlackBurn;;
10049;Cherry Garden;Черешневый сок;"В этом вкусе прячется сок натуральной спелой черешни, и если вы ищете идеальный вкус черешни, возможно, это он! Кисло-сладкая, с терпкими нотами, именно такой должна быть идеальная черешня на наш взгляд. В сочетании с хорошей крепостью у Cherry Garden есть все шансы занять почетное место в вашем топе вкусов.
";;4;Cherry Garden Черешневый сок Burn;;BlackBurn;;
10050;Cherry Shock;"Кислая Вишня
";"Cherry Shock (Кислая вишня) - это насыщенный вкус кислой вишни, терпкий и ароматный. Если вы в поисках аромата вишни, приближенного к натуральному, Cherry Shock может идеально вам подойти. Отличная кислая вишня с хорошей крепостью табака BlackBurn однозначно заслуживает вашего внимания и вполне вероятно может стать вашим фаворитом среди ягодных вкусов.
";;4;"Cherry Shock Кислая Вишня
 Burn";;BlackBurn;;
10051;Chupa Graper;"Виноградный Чупа-Чупс
";"Вот эта газировка BlackBurn точно утолит любую жажду. Виноградный вкус довольно сложный для передачи, поэтому от него частенько ждешь подвоха. Но эта газировка приятно удивляет.
";;4;"Chupa Graper Виноградный Чупа-Чупс
 Burn";;BlackBurn;;
10052;Cranberry Shock;"Кислая Клюква
";"Шоковая терапия от Burn продолжается до безумия кислой клюквой. Фирменная ягодная горчинка прилагается, преимущественно проявляя себя в послевкусии. Избежать ярких эмоций не удастся! Вкус для тех, кто хочет проснуться и зажечь.
";;4;"Cranberry Shock Кислая Клюква
 Burn";;BlackBurn;;
10053;Elderberry Shock;"Кислая Бузина
";"Задорно-кислый аромат неподражаемых ягод бузины с терпким, но сладковатым нюансом. Шокирует вкусовые рецепторы похлеще легендарных конфет Shock из лихих 90-х.
";;4;"Elderberry Shock Кислая Бузина
 Burn";;BlackBurn;;
10054;Famous Apple;"Ледяное зеленое яблоко
";"Универсальный вкус, подходящий под любой микс и для курения соло. Ощущение, что гуляешь по яблоневому саду на рассвете, когда еще не сошла утренняя прохлада. Чуть сладковатый с характерной кислинкой для яблока вкус узнаваем с первого вдоха.
";;4;"Famous Apple Ледяное зеленое яблоко
 Burn";;BlackBurn;;
10055;Garnet;"Терпкий гранат
";"Garnet удовлетворит любого гурмана. Приятный, экзотический, в меру кислый вкус граната отлично подойдет для любых фруктовых кальянных миксов, а также неплохо курится соло. С приятной терпкой ноткой и богатым фруктовым послевкусием хорошо бодрит, необычный вкус однозначно стоит пробовать всем любителям кисленького.
";;4;"Garnet Терпкий гранат
 Burn";;BlackBurn;;
10056;Green Tea;"Зеленый чай
";"Мягкий аромат табака BlackBurn - Green Tea погрузит в расслабляющую атмосферу. Приятный, бархатный вкус зеленого чая соблазняюще ароматен, табак курится легко и оставляет приятное послевкусие. Прекрасно тонизирует, к нему прекрасно подойдет выпечка, а также миксы с лаймом, малиной, базиликом и яблоком.
";;4;"Green Tea Зеленый чай
 Burn";;BlackBurn;;
10057;GUF — ICE BABY;"Ягодный сорбет с грейпфрутом
";Первый в истории кальянной индустрии коллаборационный вкус с артистом. Яркий вкус лесных ягод, чарующий аромат грейпфрута создадут легкое летнее настроение, а прохлада приятно расслабит после тяжелого дня. В меру сладкий, в меру кислый, в меру свежий.;;4;"GUF — ICE BABY Ягодный сорбет с грейпфрутом
 Burn";;BlackBurn;;
10058;Haribon;Мармелад Кола;"Вкус сладких мармеладных конфеток со вкусом шипящей кока-колы. Отлично курится в соло, в миксах можно добавлять апельсин, лимон или алкогольные вкусы.
";;4;Haribon Мармелад Кола Burn;;BlackBurn;;
10059;Irish Cream;Ирландский сливочный ликер;"Вкус ирландского сливочного ликера с высокой крепостью и многообразием вкусовых ощущений. Ценители непревзойденных вкусов оценят по достоинству вкус этого ликера, который отдаленно может напоминать ирландский виски в паре с ароматом нежных сливок. А шоколадное послевкусие на выходе отдельная тема для обсуждения мирских удовольствий.
";;4;Irish Cream Ирландский сливочный ликер Burn;;BlackBurn;;
10060;It’s Not Black Currant;"Красная Смородина
";"Красная смородина BlackBurn сегодня не позволит вам заскучать. Ягодные оттенки сводят скулы у всех, кто чилил летом в деревне или на даче. Кислые нотки без пряности, но с легкой сладостью — это американские вкусовые горки + много дыма.
";;4;"It’s Not Black Currant Красная Смородина
 Burn";;BlackBurn;;
