 1-Taste_ID;2-Name_Taste;3-Taste_Rus;4-Description_Taste;5-Image_Taste;6-Strength;7-Search_Field;16-Brand-Taste;17-Line_Brand-Taste;Created;Updated
27000;Абхазское лето;Арбуз Дыня;Ароматный свежий летний вкус бахчевых - дыни и арбуза;;2;Абхазское лето Арбуз Дыня Original Virginia;Original Virginia;MIDDLE;;
27001;Ананас;;Сочный спелый ананас;;2;Ананас  Original Virginia;Original Virginia;MIDDLE;;
27002;Апельсин;;Свежий цитрусовый вкус сочного спелого апельсина с яркими цитрусовыми нотками;;2;Апельсин  Original Virginia;Original Virginia;MIDDLE;;
27003;Апельсиновый тик-так;;Сладкое драже со свежими яркими нотками апельсина;;2;Апельсиновый тик-так  Original Virginia;Original Virginia;MIDDLE;;
27004;Арбуз;;Свежий вкус охлажденного сочного спелого арбуза;;2;Арбуз  Original Virginia;Original Virginia;MIDDLE;;
27005;Барбарисовые леденцы;;Знакомый всем с детства вкус барбарисовых конфеток;;2;Барбарисовые леденцы  Original Virginia;Original Virginia;MIDDLE;;
27006;Виноградная жвачка;;Насыщенный свежий вкус виноградных драже;;2;Виноградная жвачка  Original Virginia;Original Virginia;MIDDLE;;
27007;Вяленый томат с чёрным перцем;;Насыщенный пряный вкус вяленого томата с яркой остринкой черного и кайенского перцев;;2;Вяленый томат с чёрным перцем  Original Virginia;Original Virginia;MIDDLE;;
27008;Грейпфрут;;Сочность мякоти грейпфрута с присущей ему горьковатой ноткой;;2;Грейпфрут  Original Virginia;Original Virginia;MIDDLE;;
27009;Груша;;Аромат сочной груши и пряные нотки дюшеса;;2;Груша  Original Virginia;Original Virginia;MIDDLE;;
27010;Двойное яблоко;;Классический аромат турецкого кальянного табака с ярко выраженными нотками аниса;;2;Двойное яблоко  Original Virginia;Original Virginia;MIDDLE;;
27011;Дыня;;"Вкус сладкой спелой дыни сорта ""Колхозница""";;2;Дыня  Original Virginia;Original Virginia;MIDDLE;;
27012;Ежевичный лимонад;;Вкус летнего лимонада из спелой ежевики с легкой остринкой;;2;Ежевичный лимонад  Original Virginia;Original Virginia;MIDDLE;;
27013;Зелёное яблоко;;Яркий свежий вкус зеленого яблока с холодком;;2;Зелёное яблоко  Original Virginia;Original Virginia;MIDDLE;;
27014;Индийский лимонад;Манго Клубника Базилик;Индийский напиток с добавлением манго, клубники и базилика;;2;Индийский лимонад Манго Клубника Базилик Original Virginia;Original Virginia;MIDDLE;;
27015;Кловер клаб;Лимон Малина Джин;Вкус алкогольного коктейля на основе джина, лимонного сока и малинового сиропа;;2;Кловер клаб Лимон Малина Джин Original Virginia;Original Virginia;MIDDLE;;
27016;Клубничное повидло;;Ароматное повидло из спелых и сочных ягод садовой клубники;;2;Клубничное повидло  Original Virginia;Original Virginia;MIDDLE;;
27017;Кола;;Яркий свежий вкус самой  известной газировки в мире! Ощути сладость колы и пузырьки на языке;;2;Кола  Original Virginia;Original Virginia;MIDDLE;;
27018;Космическая угроза;Ягоды Цветы;Свежий цветочно-ягодный вкус с небольшой кислинкой;;2;Космическая угроза Ягоды Цветы Original Virginia;Original Virginia;MIDDLE;;
27019;Красная смородина;;Яркий вкус спелых сладкий ягод красной смородины;;2;Красная смородина  Original Virginia;Original Virginia;MIDDLE;;
27020;Лимон;;Сладкий сочный вкус лимона с ярко выраженной конфетной сладостью;;2;Лимон  Original Virginia;Original Virginia;MIDDLE;;
27021;Лимончелло;;Сочный вкус знаменитого итальянского ликера с яркими нотками лимона;;2;Лимончелло  Original Virginia;Original Virginia;MIDDLE;;
27022;Май тай;Ром Ананас Лимон;Идеальное сочетание рома, ананасового пюре и свежевыжатого лимонного сока с легкой остринкой;;2;Май тай Ром Ананас Лимон Original Virginia;Original Virginia;MIDDLE;;
27023;Малина кислая;;Кислый вкус дикой лесной малины;;2;Малина кислая  Original Virginia;Original Virginia;MIDDLE;;
27024;Манго;;Спелый тропический манго с травянистыми нотками;;2;Манго  Original Virginia;Original Virginia;MIDDLE;;
27025;Молоко топлёное;;Тонкие и нежные молочные нотки с кофейно-карамельным послевкусьем;;2;Молоко топлёное  Original Virginia;Original Virginia;MIDDLE;;
27026;Мятный шоколад;;Вкус темного шоколада с освежающей начинкой из перечной мяты;;2;Мятный шоколад  Original Virginia;Original Virginia;MIDDLE;;
27027;Ночь в джунглях;Лед Манго Апельсин Цитрус;Фруктово-цитрусовый микс с травянистыми нотками и холодком;;2;Ночь в джунглях Лед Манго Апельсин Цитрус Original Virginia;Original Virginia;MIDDLE;;
27028;Папайя;;Травянистый нежный вкус спелой папайи;;2;Папайя  Original Virginia;Original Virginia;MIDDLE;;
27029;Попкорн;;Сладко-соленый вкус поджаренных зерен кукурузы;;2;Попкорн  Original Virginia;Original Virginia;MIDDLE;;
27030;Просто ягоды;Черника Ежевика Голубика Малина Смородина;Ассорти из ягод (черника, ежевика, голубика, малина, смородина);;2;Просто ягоды Черника Ежевика Голубика Малина Смородина Original Virginia;Original Virginia;MIDDLE;;
27031;Райский фрукт;Маракуйя Ананас Грейпфрут;Тропический вкус с нотками маракуйи, ананаса и грейпфрукта;;2;Райский фрукт Маракуйя Ананас Грейпфрут Original Virginia;Original Virginia;MIDDLE;;
27032;Смузи;Гуава Личи Цитрус Ягоды;Свежий ягодно-цитрусовый напиток с ярковыраженными нотками гуавы и личи;;2;Смузи Гуава Личи Цитрус Ягоды Original Virginia;Original Virginia;MIDDLE;;
27033;Холодок;Лед;Холод, который освежит любой микс и добавит легкости курению;;2;Холодок Лед Original Virginia;Original Virginia;MIDDLE;;
27034;Черешня;;Вкус спелых ягод ароматной десертной черешни;;2;Черешня  Original Virginia;Original Virginia;MIDDLE;;
27035;Черника;Черника Мята;Яркий коктейль из нежной черники и свежести мяты;;2;Черника Черника Мята Original Virginia;Original Virginia;MIDDLE;;
27036;Эфиоп в России;Хвоя Фрукты Ягоды;Микс на основе ёлки с легким привкусом тропических фруктов и северных ягод;;2;Эфиоп в России Хвоя Фрукты Ягоды Original Virginia;Original Virginia;MIDDLE;;
27037;Яблочный штрудель;Сдоба Корица Яблоко;Вкус десерта из тонкого слоеного теста с ароматом запеченного яблока с вуалью из корицы;;2;Яблочный штрудель Сдоба Корица Яблоко Original Virginia;Original Virginia;MIDDLE;;
27038;Ягодный сорбет;Ягоды Дыня;Сладко-сливочный вкус ягодного сорбета с нотками дыни;;2;Ягодный сорбет Ягоды Дыня Original Virginia;Original Virginia;MIDDLE;;
27039;Horchata;Молоко Миндаль Кунжут;Молочный вкус экзотического напитка, приготовленного из молотого миндаля, кунжута, риса и ячменя;;4;Horchata Молоко Миндаль Кунжут Original Virginia;Original Virginia;STRONG;;
27040;Kashmir quajava;Шафран Гуава;Сладкий суховатый аромат тропической гуавы с пряной ноткой шафрана;;4;Kashmir quajava Шафран Гуава Original Virginia;Original Virginia;STRONG;;
27041;Welsh cream;Виски Сливки Кофе Алкоголь;Алкогольный сливочный ликер на основе ирландского виски, сливок и кофе;;4;Welsh cream Виски Сливки Кофе Алкоголь Original Virginia;Original Virginia;STRONG;;
27042;Ананас;;Сочный спелый ананас;;4;Ананас  Original Virginia;Original Virginia;STRONG;;
27043;Грейпфрут;;Сочность мякоти грейпфрукта с присущей ему горьковатой ноткой. ;;4;Грейпфрут  Original Virginia;Original Virginia;STRONG;;
27044;Дыня;;"Вкус сладкой спелой дыни сорта ""Колхозница""";;4;Дыня  Original Virginia;Original Virginia;STRONG;;
27045;Зелёное яблоко;;Яркий свежий вкус зеленого яблока с холодком. ;;4;Зелёное яблоко  Original Virginia;Original Virginia;STRONG;;
27046;Клубничное повидло;;Ароматное повидло из спелых и сочных ягод садовой клубники;;4;Клубничное повидло  Original Virginia;Original Virginia;STRONG;;
27047;Кола;;Яркий свежий вкус самой  известной газировки в мире! Ощути сладость колы и пузырьки на языке;;4;Кола  Original Virginia;Original Virginia;STRONG;;
27048;Красная смородина;;Яркий вкус спелых сладких ягод красной смородины;;4;Красная смородина  Original Virginia;Original Virginia;STRONG;;
27049;Лимон;;Сладкий сочный вкус лимона с ярко выраженной конфетной сладостью;;4;Лимон  Original Virginia;Original Virginia;STRONG;;
27050;Манго;;Спелый тропический манго с травянистыми нотками;;4;Манго  Original Virginia;Original Virginia;STRONG;;
27051;Папайя;;Травянистый нежный вкус спелой папайи;;4;Папайя  Original Virginia;Original Virginia;STRONG;;
27052;Черешня;;Вкус спелых ягод ароматной десертной черешни;;4;Черешня  Original Virginia;Original Virginia;STRONG;;
27053;Черника;;Яркий коктейль из нежной черники и свежести мяты;;4;Черника  Original Virginia;Original Virginia;STRONG;;
