 1-Taste_ID;2-Name_Taste;3-Taste_Rus;4-Description_Taste;5-Image_Taste;6-Strength;7-Search_Field;16-Brand-Taste;17-Line_Brand-Taste;Created;Updated
;Acid Shake;Малина Цитрус;"Неповторимый аромат кислого коктейля, который смогут повторить разве что лучшие бармены. Вкус напитка, который сочетает в себе кислые ягоды клюквы и только созревшую малину, с нотками желтых цитрусов, заставит вас приятно поморщиться от ощущений приятной кислинки на языке.
";;2;;;;;
;Banana Cookie;Банановое печенье;"Уникальное десертное сочетание, которое позволит вам перенестись на домашнюю кухню, где выпекается то самое хрустящее печенье с кусочками свежих бананов. Аромат, который вы точно захотите попробовать на вкус проснувшись утром.
";;2;;;;;
;Barberry Lollipop;Барбарис;"Дополненный вкус барбарисовых леденцов, знакомых нам с детства. Сочетание сладко-кислых леденцов, ягод винограда и ярких цитрусовых фруктов это именно тот взрыв вкусовых оттенков, который точно не оставит вас равнодушным.
";;2;;;;;
;Berry Bomb;Смородина Черника Ягоды;"Аромат, который взорвет ваши рецепторы насыщенным вкусом ягодного многообразия. Сочетание красных и черных ягод смородины с добавлением свежайших плодов черники создает невообразимый вкус лесных ягод.
";;2;;;;;
;Blue Energy;Энегетик Черника Цитрус;"Вкусовое сочетание, знакомое многим любителям энергетических напитков. Аромат цитрусового энергетика прекрасно дополняется ярким ягодным вкусом черники и мягкими нотками мяты. Прекрасно подойдет тем, кто хочет немного освежиться этим бодрящим напитком.
";;2;;;;;
;Drunk Cherry;Вишня Сдоба Алкоголь;"Вкус классического торта, знакомый многим еще с детства. Десертный аромат вишни с нотками рома и шоколада, полюбившийся всем своей уникальностью и насыщенным ароматом благородных напитков. Сочетание вкусов, которое опьяняет и переворачивает ваше представление о десертах.
";;2;;;;;
;Flower Garden;Цветы Алкоголь Сдоба;"Воплощение вашего самого бурного романа в букете красочных цветов, терпкого алкоголя и сладкого десерта. Аромат свежих только что срезанных бутонов напомнит о романтических чувствах к близким, а ромовое послевкусие придаст яркости отношениям. Такой микс поможет передать самые искренние чувства к любимым.
";;2;;;;;
;Grape Shake;Виноград Ягоды;"Сочный виноградный шейк взбодрит ваши вкусовые рецепторы от банальных сочетаний. Если вы давно хотели испытать насыщенный вкус винограда с приятными ягодными нотками, то этот микс точно для вас.
";;2;;;;;
;Jungle Berry;Ягоды Ананас;"Нестандартное сочетание сладких ягод и кислого ананаса создает непревзойденную атмосферу домашнего уюта в зеленых лесах джунглей. Сладкий аромат ягод напомнит вам о прекрасных летних моментах, а цитрусовый и немного кислый ананас привнесет нотку диких тропиков.
";;2;;;;;
;Kiwifruit;Киви Кактус;"Зеленый жизнерадостный аромат спелой мякоти киви и экзотического кактуса высвободит самые яркие воспоминания отпуска в жарких странах. Многогранное сочетание кислинки и сладости во вкусе, к которому хочется возвращаться вновь и вновь.
";;2;;;;;
;Morning Oblepiha;Облепиха Каша Манго;"Яркий аромат, которым вы точно захотите позавтракать. Только приготовленная овсяная каша с кусочками спелого манго и свежесобранной облепихи перенесет вас в деревенский домик, где вы сможете насладиться данным завтраком на летней террасе.
";;2;;;;;
;Multifruit;Фрукты Ягоды;"Тропические фрукты с дополнением ярких ягод наполнят вас солнечной энергией и зарядят летним настроением. Это настоящий взрыв фруктов в вашей чаше.
";;2;;;;;
;Peach Ice Tea;Чай Персик Мята;"Насыщенный вкус спелого персика в сочетании с прохладным мятным чаем – лучшее средство для утоления жажды. Этот микс перенесет вас к бассейну в жарких странах, где каждая капля освежающего напитка будет желанным дополнением вашего отдыха.
";;2;;;;;
;Pumpkin Cheese;Тыква Сдоба Чизкейк;"Сливочный аромат тыквенного чизкейка с добавлением ягодных нот - смелое и яркое сочетание, которое придётся по вкусу всем любителям необычных десертных ароматов.
";;2;;;;;
;Spicy Tea;Пряный чай Облепиха Эвкалипт;"Сочетание классического английского чая с бергамотом с нотами облепихи и эвкалипта. Этот напиток согреет вас своим ароматом и ненавязчивыми ягодными нотами. Идеальный вкус для тех, кто знает, что такое Five o'clock tea.
";;2;;;;;
;Tropic gum;Тропическая жвачка;"Вкус фруктовой жвачки, который вернёт вас в детство. Классическое сочетание освежающей жвачки с яркими тропическими фруктами создаёт мощный вихрь вкусов с лёгким оттенком ностальгии.
";;2;;;;;
;Tropic Smoothie;Тропические фрукты Банан Ананас Облепиха;"Тропический аромат коктейля на основе банана, ананаса и облепихи. Смузи из свежайших фруктов – это готовое решение для любителей тропических миксов. Оптимально подобранное сочетание вкусов создаст в вашей чаше фруктовый вихрь из жарких тропиков.
";;2;;;;;
